loggingTime,loggingSample,identifierForVendor,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,pedometerStartDate,pedometerNumberofSteps,pedometerDistance,pedometerFloorAscended,pedometerFloorDescended,pedometerEndDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,IP_en0,IP_pdp_ip0,deviceOrientation,batteryState,batteryLevel,state
2016-01-11 13:32:15.481,2803,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540734.99999,30.6153188367,-96.3271024917,92.02339,0,46.40625,4,5,-9999,1452540735.44548,202.3834075928,131.8595581055,-637.5885009766,17.6276016235,14.3775205612,35,34917.9830642917,0.0249328613,-0.0370178223,-1.0026397705,34917.9807395,0.0201196494,-0.0308295517,-0.008405469,34917.8758505,2.8637867029,0.0239546655,0.0370790028,-0.0019301723,0.0028981443,-0.0001167281,0.000661257,-0.0038688239,-0.0023625994,XArbitraryCorrectedZVertical,-0.009293063,0.020016587,0.9901580041,0.1382031189,0.0239359103,-0.0370705053,-0.9990259409,6.2007751465,27.5453872681,1.1564941406,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34917.2294861667,0,13.46105,101.106,0.0.0.0,100.84.84.111,5,1,0.44,0
2016-01-11 13:32:15.578,2804,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540734.99999,30.6153188367,-96.3271024917,92.02339,0,46.40625,4,5,-9999,1452540735.56543,202.3086090088,131.9348602295,-637.4397583008,17.6293354034,14.3792552948,35,34918.0838332917,0.0248413086,-0.0359649658,-1.0000610352,34917.9807395,0.0201196494,-0.0308295517,-0.008405469,34917.9757345,2.8637729626,0.0239629819,0.0372368592,0.0001841615,0.0007703029,-0.0001082519,0.0009124886,-3.37083802151028E-005,-0.0016972743,XArbitraryCorrectedZVertical,-0.0092860994,0.0200953719,0.9901556948,0.1382086987,0.023944078,-0.0372282527,-0.9990198612,5.9004821777,27.4715957642,1.2282104492,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34917.2294861667,0,13.46105,101.106,0.0.0.0,100.84.84.111,5,1,0.44,0
2016-01-11 13:32:15.679,2805,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540734.99999,30.6153188367,-96.3271024917,92.02339,0,46.40625,4,5,-9999,1452540735.67034,202.1586761475,131.9354705811,-637.5915527344,17.6304836273,14.380402565,35,34918.1846022917,0.0228118896,-0.0387115479,-1.0026092529,34918.0806235,0.0190549176,-0.0308319486,-0.0073423351,34918.0756185,2.863739378,0.0239566758,0.0371112823,-0.0008895557,-0.000283111,-0.0001066932,1.84081236511702E-005,0.0016871149,-0.004408522,XArbitraryCorrectedZVertical,-0.0092913466,0.0200329257,0.9901544546,0.1382262954,0.0239378903,-0.0371027626,-0.9990246892,5.8256835938,27.5468978882,1.376953125,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34917.2294861667,0,13.46105,101.106,0.0.0.0,100.84.84.111,5,1,0.44,0
2016-01-11 13:32:15.801,2806,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540734.99999,30.6153188367,-96.3271024917,92.02339,0,46.40625,4,5,-9999,1452540735.79039,202.009262085,132.0860595703,-637.6690673828,17.6322460175,14.3821649551,35,34918.2853412917,0.0260620117,-0.0392303467,-1.0008087158,34918.2803915,0.0201212473,-0.029773342,-0.007343933,34918.1755025,2.8636971796,0.0240844742,0.0369758235,-0.006182801,0.0061213449,-0.0022600156,0.0002415659,-0.0004929287,-0.0025144843,XArbitraryCorrectedZVertical,-0.0093635871,0.0199748973,0.9901520715,0.1382468878,0.0240656845,-0.0369673967,-0.9990266562,5.6757507324,27.5475082397,1.2251586914,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34917.2294861667,0,13.46105,101.106,0.0.0.0,100.84.84.111,5,1,0.44,0
2016-01-11 13:32:15.882,2807,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540734.99999,30.6153188367,-96.3271024917,92.02339,0,46.40625,4,5,-9999,1452540735.79039,202.009262085,132.0860595703,-637.6690673828,17.6322460175,14.3821649551,35,34918.3861102917,0.0256195068,-0.036239624,-1.0023956299,34918.3802755,0.0201180515,-0.030835677,-0.0073410035,34918.2753865,2.8636761889,0.0241151995,0.0371663021,-0.0008947243,-0.0002783435,-0.0001068438,0.0008671687,-0.0012486259,-0.000477604,XArbitraryCorrectedZVertical,-0.0093653792,0.0200714149,0.9901488875,0.1382555913,0.0240962096,-0.0371577479,-0.9990188479,5.6000061035,27.322807312,1.1502075195,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34917.2294861667,0,13.46105,101.106,0.0.0.0,100.84.84.111,5,1,0.44,0
2016-01-11 13:32:15.981,2808,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540734.99999,30.6153188367,-96.3271024917,92.02339,0,46.40625,4,5,-9999,1452540735.89542,202.0839538574,132.0107574463,-637.5928344727,17.6318073273,14.3817272186,35,34918.4868792917,0.023727417,-0.0373535156,-0.9997558594,34918.3802755,0.0201180515,-0.030835677,-0.0073410035,34918.3752705,2.863685695,0.0241752261,0.0371436471,0.0001673795,0.0007908813,-0.001172965,-0.0001846406,0.0001935785,-0.0013937382,XArbitraryCorrectedZVertical,-0.0093967633,0.0200643045,0.9901494525,0.1382504474,0.0241561979,-0.0371351056,-0.9990182519,5.9014282227,27.6965866089,0.9271850586,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34917.2294861667,0,13.46105,101.106,0.0.0.0,100.84.84.111,5,1,0.44,0
2016-01-11 13:32:16.082,2809,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540734.99999,30.6153188367,-96.3271024917,92.02339,0,46.40625,4,5,-9999,1452540736.01501,202.3090667725,132.0098571777,-637.8150634766,17.6309890747,14.3809080124,35,34918.5876172917,0.0245056152,-0.0375518799,-1.0009918213,34918.5800435,0.0190581134,-0.0297696136,-0.0073452646,34918.4751545,2.8636877118,0.0242311663,0.0371806193,-0.0009002009,-0.0002741868,-0.0001070557,0.002170396,-0.0006392258,-0.0038683882,XArbitraryCorrectedZVertical,-0.0094219142,0.0200864648,0.9901490196,0.1382486183,0.0242120493,-0.037172053,-0.9990155101,5.7526550293,28.0721969604,1.1486816406,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34918.5812311667,0,13.51645,101.1054,0.0.0.0,100.84.84.111,5,1,0.44,0
2016-01-11 13:32:16.201,2810,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540735.99999,30.6153188367,-96.3271024917,92.01503,0,46.40625,3,5,-9999,1452540736.11973,201.859161377,132.0866699219,-637.4459228516,17.6306190491,14.3805389404,35,34918.6883862917,0.0229492188,-0.0380859375,-1.0004882813,34918.6799275,0.0201180515,-0.030835677,-0.0073410035,34918.5750385,2.8636942142,0.0242448878,0.037218243,-0.0009036334,0.0007936579,-0.0001099296,0.0015921469,-0.0015171554,-0.0037327902,XArbitraryCorrectedZVertical,-0.0094261636,0.0201060079,0.9901490895,0.138244987,0.0242257249,-0.0372096524,-0.9990137815,5.7515411377,27.7721939087,1.2250366211,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34918.5812311667,0,13.51645,101.1054,0.0.0.0,100.84.84.111,5,1,0.44,0
2016-01-11 13:32:16.284,2811,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540735.99999,30.6153188367,-96.3271024917,92.01503,0,46.40625,3,5,-9999,1452540736.23993,202.2331085205,131.7851715088,-637.5150146484,17.6319313049,14.3818502426,35,34918.7891552917,0.0252685547,-0.0380706787,-0.9999542236,34918.6799275,0.0201180515,-0.030835677,-0.0073410035,34918.6749225,2.8636943164,0.0243303487,0.0370732092,-0.0009036464,0.0007931862,-0.0001100878,0.0012777575,0.0011302691,-0.0042787963,XArbitraryCorrectedZVertical,-0.0094785317,0.0200401167,0.9901499044,0.1382451372,0.0243112314,-0.0370647162,-0.9990171194,5.6761016846,27.622505188,1.0747680664,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34918.5812311667,0,13.51645,101.1054,0.0.0.0,100.84.84.111,5,1,0.44,0
2016-01-11 13:32:16.384,2812,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540735.99999,30.6153188367,-96.3271024917,92.01503,0,46.40625,3,5,-9999,1452540736.34441,202.0837249756,131.935760498,-637.6674804688,17.6321353912,14.3820552826,35,34918.8898942917,0.0240936279,-0.0371551514,-1.0023803711,34918.8796955,0.0201132578,-0.0319041372,-0.0062736086,34918.7748065,2.8636730274,0.0240967149,0.0369636546,0.0001490776,-0.0002688449,-0.0001055147,-0.0006556835,0.001066566,-0.0014767316,XArbitraryCorrectedZVertical,-0.0093702498,0.0199698325,0.9901504459,0.1382588108,0.024077924,-0.0369552374,-0.999026835,5.9750213623,27.3212966919,1.0797729492,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34918.5812311667,0,13.51645,101.1054,0.0.0.0,100.84.84.111,5,1,0.44,0
2016-01-11 13:32:16.485,2813,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540735.99999,30.6153188367,-96.3271024917,92.01503,0,46.40625,3,5,-9999,1452540736.46446,202.158416748,131.8604736328,-637.5912475586,17.632900238,14.3828201294,35,34918.9906322917,0.024520874,-0.0365905762,-1.0009155273,34918.9795795,0.0190613092,-0.0287072787,-0.0073481941,34918.8746905,2.8636776767,0.0241038781,0.0370791166,0.0001440389,-0.0002648981,-0.0001050472,-0.0004796312,-0.0002218597,-0.0034495601,XArbitraryCorrectedZVertical,-0.0093658354,0.0200274647,0.9901497718,0.1382556006,0.0240849778,-0.0370706208,-0.9990223646,5.6007995605,27.5477981567,1.149230957,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34918.5812311667,0,13.51645,101.1054,0.0.0.0,100.84.84.111,5,1,0.44,0
2016-01-11 13:32:16.602,2814,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540735.99999,30.6153188367,-96.3271024917,92.01503,0,46.40625,3,5,-9999,1452540736.56925,202.6083984375,131.8586578369,-637.5858154297,17.6330928802,14.3830118179,35,34919.0913712917,0.0229949951,-0.0372161865,-1.0018920898,34919.0794635,0.0201164536,-0.0308418023,-0.0062765381,34919.0744585,2.8636493427,0.024268075,0.0371304839,0.0001390568,-0.0002611934,-0.0001045894,0.0019503732,-0.00152856,-0.0035164685,XArbitraryCorrectedZVertical,-0.0094432785,0.020064378,0.9901466122,0.1382676088,0.0242489669,-0.0371219516,-0.9990164638,6.1254730225,27.4706954956,1.2308959961,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34918.5812311667,0,13.51645,101.1054,0.0.0.0,100.84.84.111,5,1,0.44,0
2016-01-11 13:32:16.687,2815,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540735.99999,30.6153188367,-96.3271024917,92.01503,0,46.40625,3,5,-9999,1452540736.56925,202.6083984375,131.8586578369,-637.5858154297,17.6330928802,14.3830118179,35,34919.1921092917,0.0241394043,-0.0406951904,-1.0011138916,34919.1793475,0.0179981753,-0.0287035502,-0.0073495257,34919.0744585,2.8636493427,0.024268075,0.0371304839,0.0001390568,-0.0002611934,-0.0001045894,0.0019503732,-0.00152856,-0.0035164685,XArbitraryCorrectedZVertical,-0.0094432785,0.020064378,0.9901466122,0.1382676088,0.0242489669,-0.0371219516,-0.9990164638,6.1254730225,27.4706954956,1.2308959961,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34918.5812311667,0,13.51645,101.1054,0.0.0.0,100.84.84.111,5,1,0.44,0
2016-01-11 13:32:16.787,2816,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540735.99999,30.6153188367,-96.3271024917,92.01503,0,46.40625,3,5,-9999,1452540736.68912,202.009262085,132.0860595703,-637.6690673828,17.6328468323,14.38276577,35,34919.2928482917,0.0254364014,-0.0400695801,-1.0038299561,34919.2792315,0.0201212473,-0.029773342,-0.007343933,34919.1743425,2.8636462625,0.0241631532,0.0370797824,-0.0019807017,0.0018700538,-0.0001132511,-0.0010576466,0.001564084,-0.0006433972,XArbitraryCorrectedZVertical,-0.0093948202,0.0200320394,0.9901473166,0.1382705546,0.024144195,-0.0370712876,-0.9990209341,6.1259765625,27.6206893921,1.3052368164,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34918.5812311667,0,13.51645,101.1054,0.0.0.0,100.84.84.111,5,1,0.44,0
2016-01-11 13:32:16.888,2817,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540735.99999,30.6153188367,-96.3271024917,92.01503,0,46.40625,3,5,-9999,1452540736.79396,202.3087158203,131.9348602295,-637.6647949219,17.6323280334,14.3822469711,35,34919.39348725,0.0232391357,-0.0359191895,-1.002822876,34919.379015375,0.0190533197,-0.0318881583,-0.0084038711,34919.374010375,2.863611484,0.0242041762,0.0371990896,-0.0009304162,0.0008107701,-0.0001076346,0.0002595101,0.0002337239,-0.003471693,XArbitraryCorrectedZVertical,-0.0094065053,0.0200941012,0.9901437222,0.1382864932,0.0241850708,-0.0371905118,-0.9990155101,5.9766540527,27.7712783813,1.002746582,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34918.5812311667,0,13.51645,101.1054,0.0.0.0,100.84.84.111,5,1,0.44,0
2016-01-11 13:32:17.002,2818,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540735.99999,30.6153188367,-96.3271024917,92.01503,0,46.40625,3,5,-9999,1452540736.91398,202.0090789795,132.0860595703,-637.2940673828,17.6344718933,14.384390831,35,34919.49425625,0.0227966309,-0.0386810303,-1.0005950928,34919.478899375,0.0211827833,-0.0297831957,-0.006278136,34919.473894375,2.8636252025,0.0240645343,0.0371095888,0.0011876572,-0.0013285162,0.0009652202,-0.0016915194,0.0008919655,-0.0045941523,XArbitraryCorrectedZVertical,-0.0093437183,0.0200400752,0.9901460737,0.1382817526,0.0240456462,-0.0371010713,-0.9990221858,6.2749786377,27.3200912476,1.1583862305,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34918.5812311667,0,13.51645,101.1054,0.0.0.0,100.84.84.111,5,1,0.44,0
2016-01-11 13:32:17.090,2819,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540735.99999,30.6153188367,-96.3271024917,92.01503,0,46.40625,3,5,-9999,1452540737.01878,202.2352142334,132.3851623535,-637.4427490234,17.63347435,14.3833942413,35,34919.59499425,0.0244598389,-0.0378570557,-1.0032958984,34919.578783375,0.0211859791,-0.0297709452,-0.0084070669,34919.473894375,2.8636252025,0.0240645343,0.0371095888,0.0011876572,-0.0013285162,0.0009652202,-0.0016915194,0.0008919655,-0.0045941523,XArbitraryCorrectedZVertical,-0.0093437183,0.0200400752,0.9901460737,0.1382817526,0.0240456462,-0.0371010713,-0.9990221858,6.2749786377,27.3200912476,1.1583862305,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34918.5812311667,0,13.51645,101.1054,0.0.0.0,100.84.84.111,5,1,0.44,0
2016-01-11 13:32:17.190,2820,3C8F32B5-E898-4DA6-A930-42B57359A9DF,1452540736.99999,30.6153188367,-96.3271024917,92.07485,0,46.40625,3,5,-9999,1452540737.14549,202.458984375,132.0092468262,-637.663269043,17.6328334808,14.3827524185,35,34919.69573325,0.0234680176,-0.0366363525,-1.0001068115,34919.678667375,0.0190629071,-0.0287011534,-0.0084126596,34919.673662375,2.8636527429,0.0240545406,0.0371736586,-0.0009433836,-0.0002538811,0.0009611219,-0.0022307946,-0.0009513574,-0.0034366227,XArbitraryCorrectedZVertical,-0.009334603,0.0200709729,0.9901474887,0.1382677542,0.0240356047,-0.0371650979,-0.99902004,5.9010925293,27.6215896606,1.0775146484,2,34849.922544375,automotive,2,2016-01-11 13:31:07.450,null,0,0,0,0,null,34918.5812311667,0,13.51645,101.1054,0.0.0.0,100.84.84.111,5,1,0.44,0
